CALENDAR_YEAR,YEAR_LEVEL,DOMAIN,STATE,SUBGROUP,ENROLLED_STUDENTS,MEAN,MEAN_CI,MEAN_SD,NMS,NMS_CI,GAIN,GAIN_CI,EXEMPT,ABSENT,ASSESSED,WITHDRAWN,NONATTEMPT,PARTICIPATION_RATE,PARTICIPATION_NUMBER,NOT_STATED,AVERAGE_AGE,YEARS_OF_SCHOOLING,BANDCOL1,BANDCOL2,BANDCOL3,BANDCOL4,BANDCOL5,BANDCOL6,PCTL05,PCTL20,PCTL80,PCTL95,TREND,TREND_VALUE,NOD_MEAN_PREV,NOD_NMS_PREV,NOD_MEAN_BASE,NOD_NMS_BASE
2008,3,Grammar and Punctuation,AUS,All,271720,403.2,1.3,87.5,91.7,0.3,,,1.7,2.9,95,0.5,,96.6,262612,,8yrs 7mths,3yrs 4mths,6.5,10.6,17.3,23.4,21.3,19.2,257.4,331.2,476.9,539,Dome shaped,407.5,,,,
2008,3,Numeracy,AUS,All,271720,396.9,1,70.4,95,0.2,,,1.7,3.3,95,0.4,,96.3,261597,,8yrs 7mths,3yrs 4mths,3.3,10.8,23,27.9,21.1,12.4,282.6,337.4,456.5,512,Flat,395.2,,,,
2008,3,Reading,AUS,All,271720,400.5,1.2,84.5,92.1,0.3,,,1.7,3,95,0.5,,96.6,262372,,8yrs 7mths,3yrs 4mths,6.1,12,17.7,23,21.8,17.7,262.4,326.9,472.4,532,Increasing,407.1,,,,
2008,3,Spelling,AUS,All,271720,399.5,1.1,79.8,92.5,0.3,,,1.7,2.9,95,0.5,,96.6,262612,,8yrs 7mths,3yrs 4mths,5.8,10.1,19,25.9,21.9,15.6,263.1,334.9,466.1,523.4,Increasing,402.2,,,,
2008,5,Grammar and Punctuation,AUS,All,271423,496.2,1.1,80.6,91.9,0.3,,,1.5,2.7,95,0.3,,96.9,263126,,10yrs 6mths,5yrs 1mth,6.5,11,21.3,26.4,19.9,13.4,360,432.9,562.3,622.8,Flat,498.2,,,,
2008,5,Numeracy,AUS,All,271423,475.9,1.1,68.8,92.7,0.2,,,1.5,3.1,95,0.3,,96.6,262268,,10yrs 6mths,5yrs 1mth,5.9,17.4,28.9,25.7,14,6.6,369.1,418.3,532.3,593.8,Increasing,484.1,,,,
2008,5,Reading,AUS,All,271423,484.4,1.1,76.5,91,0.3,,,1.5,2.8,95,0.3,,96.8,262872,,10yrs 6mths,5yrs 1mth,7.5,13.5,23.9,26.1,18.1,9.3,355.9,422.5,548.4,605.8,Increasing,487.2,,,,
2008,5,Spelling,AUS,All,271423,483.8,0.9,72.7,91.7,0.2,,,1.5,2.7,95,0.3,,96.9,263126,,10yrs 6mths,5yrs 1mth,6.7,12.8,24.9,28.2,18.2,7.6,360.7,426.4,543.6,596.9,Increasing,485.1,,,,
2008,7,Grammar and Punctuation,AUS,All,275973,529,1.5,72.7,91.6,0.3,,,1.2,3.4,95,0.2,,96.4,266083,,12yrs 6mths,7yrs 1mth,7.2,15.4,27.4,26.3,15.5,7,410.8,471.1,588.7,646.6,Flat,537,,,,
2008,7,Numeracy,AUS,All,275973,545,1.6,73.2,95.4,0.2,,,1.2,3.7,95,0.2,,96.1,265275,,12yrs 6mths,7yrs 1mth,3.4,14.6,25.8,26,17.2,11.7,435.4,482.1,606.2,672.6,Flat,542.9,,,,
